"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
6.5,0,-180,-21.6238501460707,-21.5826269558805
6.5,0,-179,-22.2199365511922,-21.8336658123536
6.5,0,-178,-22.8540626983157,-22.0344123410985
6.5,0,-177,-23.526175286931,-22.1831299115812
6.5,0,-176,-24.2356762947511,-22.2810674198782
6.5,0,-175,-24.9810488243862,-22.3323365457244
6.5,0,-174,-25.7592624697238,-22.3433944366049
6.5,0,-173,-26.5648433092626,-22.3222762530434
6.5,0,-172,-27.3884643206213,-22.2777654181561
6.5,0,-171,-28.2149316673075,-22.2186621065211
6.5,0,-170,-29.020621609814,-22.1532422103131
6.5,0,-169,-29.7709695218549,-22.0889281845585
6.5,0,-168,-30.4197224286414,-22.0321442410408
6.5,0,-167,-30.9129653630415,-21.9883066107443
6.5,0,-166,-31.2005103368147,-21.9618982762457
6.5,0,-165,-31.2524177107737,-21.9565868754092
6.5,0,-164,-31.0712199365472,-21.9753567294448
6.5,0,-163,-30.6903756090684,-22.020636910837
6.5,0,-162,-30.1602815712179,-22.0944153784406
6.5,0,-161,-29.5323225090665,-22.1983344038287
6.5,0,-160,-28.8491101416051,-22.3337653205092
6.5,0,-159,-28.1417476772733,-22.5018616500153
6.5,0,-158,-27.4311523388664,-22.7035893555738
6.5,0,-157,-26.7306491671178,-22.9397315935471
6.5,0,-156,-26.0484051388044,-23.2108629130306
6.5,0,-155,-25.3892645929977,-23.517284247391
6.5,0,-154,-24.7559963412716,-23.8589049651202
6.5,0,-153,-24.1500939383914,-24.2350514044174
6.5,0,-152,-23.5722723395252,-24.6441727154926
6.5,0,-151,-23.0227701204952,-25.0834055781506
6.5,0,-150,-22.5015314752118,-25.5479533997608
6.5,0,-149,-22.0083155348612,-26.0302431764364
6.5,0,-148,-21.5427624141931,-26.5188663090994
6.5,0,-147,-21.1044337490651,-26.9974266978396
6.5,0,-146,-20.6928382698574,-27.4436561403978
6.5,0,-145,-20.3074485801018,-27.8295119760636
6.5,0,-144,-19.9477127049916,-28.1232637583932
6.5,0,-143,-19.6130624479788,-28.2943162918889
6.5,0,-142,-19.3029197126233,-28.3201656837643
6.5,0,-141,-19.0167014462891,-28.1928207703508
6.5,0,-140,-18.7538235825289,-27.9211754246422
6.5,0,-139,-18.5137042052587,-27.5278449482653
6.5,0,-138,-18.2957660745937,-27.0424326399182
6.5,0,-137,-18.0994386095235,-26.4947830319679
6.5,0,-136,-17.9241593983638,-25.9105919350625
6.5,0,-135,-17.7693752941541,-25.3096963928096
6.5,0,-134,-17.634543143509,-24.7061962407375
6.5,0,-133,-17.5191301911277,-24.1094250893697
6.5,0,-132,-17.4226141968814,-23.5251137038279
6.5,0,-131,-17.3444832975433,-22.9564308819719
6.5,0,-130,-17.2842356405971,-22.4048032016362
6.5,0,-129,-17.2413788131062,-21.8705177353742
6.5,0,-128,-17.2154290843938,-21.3531475539076
6.5,0,-127,-17.205910477309,-20.8518444380331
6.5,0,-126,-17.2123536791912,-20.3655365007083
6.5,0,-125,-17.2342948003247,-19.8930593648756
6.5,0,-124,-17.2712739847368,-19.4332414874999
6.5,0,-123,-17.322833875647,-18.9849580055097
6.5,0,-122,-17.3885179357642,-18.5471630016028
6.5,0,-121,-17.4678686209756,-18.1189069791527
6.5,0,-120,-17.5604254048332,-17.6993442205709
6.5,0,-119,-17.6657226506722,-17.2877332781125
6.5,0,-118,-17.7832873282968,-16.8834328859051
6.5,0,-117,-17.9126365730293,-16.4858949298402
6.5,0,-116,-18.0532750867086,-16.0946556614742
6.5,0,-115,-18.2046923830843,-15.7093260229804
6.5,0,-114,-18.3663598842163,-15.3295817171173
6.5,0,-113,-18.5377278801563,-14.9551534804947
6.5,0,-112,-18.7182223716297,-14.5858178824193
6.5,0,-111,-18.9072418248912,-14.2213888644648
6.5,0,-110,-19.1041538796421,-13.8617101510309
6.5,0,-109,-19.3082920650573,-13.5066485943326
6.5,0,-108,-19.5189525956661,-13.1560884656178
6.5,0,-107,-19.7353913380022,-12.8099266657187
6.5,0,-106,-19.9568210602769,-12.4680688003815
6.5,0,-105,-20.1824091002117,-12.1304260474375
6.5,0,-104,-20.4112756095178,-11.7969127320956
6.5,0,-103,-20.6424925557421,-11.4674445219241
6.5,0,-102,-20.8750836810802,-11.1419371530202
6.5,0,-101,-21.108025630429,-10.8203056022035
6.5,0,-100,-21.340250463921,-10.5024636257484
6.5,0,-99,-21.5706497585522,-10.1883235923168
6.5,0,-98,-21.7980804752573,-9.87779654566827
6.5,0,-97,-22.0213727183448,-9.57079244088234
6.5,0,-96,-22.2393394411441,-9.26722050583843
6.5,0,-95,-22.450788054663,-8.966989687297
6.5,0,-94,-22.6545337774991,-8.67000914794238
6.5,0,-93,-22.8494144313562,-8.37618878708523
6.5,0,-92,-23.0343062473572,-8.08543976334974
6.5,0,-91,-23.2081401176,-7.79767500258084
6.5,0,-90,-23.3699176201711,-7.51280967843669
6.5,0,-89,-23.5187260805461,-7.23076165672311
6.5,0,-88,-23.653751922101,-6.95145189753575
6.5,0,-87,-23.7742916121794,-6.67480481176335
6.5,0,-86,-23.8797596290438,-6.40074857052875
6.5,0,-85,-23.9696930513075,-6.12921536776158
6.5,0,-84,-24.0437525887448,-5.86014163736061
6.5,0,-83,-24.1017201088608,-5.59346822736215
6.5,0,-82,-24.1434929414523,-5.32914053422783
6.5,0,-81,-24.169075439086,-5.06710860083948
6.5,0,-80,-24.1785684156149,-4.80732718207302
6.5,0,-79,-24.1721571661847,-4.54975578194997
6.5,0,-78,-24.1500987883515,-4.29435866635772
6.5,0,-77,-24.1127094810317,-4.04110485521238
6.5,0,-76,-24.0603524084613,-3.78996809773241
6.5,0,-75,-23.9934265960781,-3.54092683421084
6.5,0,-74,-23.912357190812,-3.29396414733911
6.5,0,-73,-23.8175872844498,-3.04906770575657
6.5,0,-72,-23.7095713769936,-2.80622970209003
6.5,0,-71,-23.58877045471,-2.56544678731903
6.5,0,-70,-23.455648578435,-2.32672000286243
6.5,0,-69,-23.3106708219817,-2.090054711342
6.5,0,-68,-23.1543023661426,-1.85546052654461
6.5,0,-67,-22.9870085373737,-1.62295124268541
6.5,0,-66,-22.8092555778059,-1.39254476267578
6.5,0,-65,-22.6215119408699,-1.16426302472889
6.5,0,-64,-22.4242499211724,-0.938131926296671
6.5,0,-63,-22.2179474456599,-0.714181244032188
6.5,0,-62,-22.0030898736684,-0.492444548212631
6.5,0,-61,-21.7801716749447,-0.272959109847499
